Tiempo,Posición X,Posición Y,Posición Z,Objetivo X,Objetivo Y,Objetivo Z
3.2960000000000003,1.999999999999951,18.000000000000085,2.33080971798365,3.0,10.0,6.0
3.3280000000000003,1.9999999999999512,18.00000000000009,2.351168789766676,3.0,10.0,6.0
3.36,1.9999999999999512,18.000000000000092,2.370108366548804,3.0,10.0,6.0
3.392,1.9999999999999512,18.000000000000096,2.3876393462795678,3.0,10.0,6.0
3.424,1.999999999999951,18.0000000000001,2.4037768033509757,3.0,10.0,6.0
3.456,1.9999999999999507,18.000000000000103,2.4185397286839105,3.0,10.0,6.0
3.488,1.9999999999999505,18.000000000000107,2.431950771878327,3.0,10.0,6.0
3.52,1.9999999999999503,18.00000000000011,2.4440359856051024,3.0,10.0,6.0
3.552,1.9999999999999503,18.000000000000114,2.4548245724516544,3.0,10.0,6.0
3.584,1.9999999999999503,18.000000000000117,2.464348634467265,3.0,10.0,6.0
3.616,1.9999999999999503,18.00000000000012,2.4726429256866296,3.0,10.0,6.0
3.648,1.9999999999999503,18.000000000000124,2.4797446079406673,3.0,10.0,6.0
3.68,1.9999999999999503,18.000000000000128,2.4856930102914014,3.0,10.0,6.0
3.712,1.9999999999999505,18.00000000000013,2.490529392452105,3.0,10.0,6.0
3.744,1.9999999999999505,18.00000000000013,2.4942967125743962,3.0,10.0,6.0
3.7760000000000002,1.9999999999999505,18.00000000000013,2.4970393998000993,3.0,10.0,6.0
3.8080000000000003,1.9999999999999505,18.00000000000013,2.4988031319871276,3.0,10.0,6.0
3.84,1.9999999999999503,18.00000000000013,2.499634619025154,3.0,10.0,6.0
3.872,1.99999999999995,18.00000000000013,2.4995813921582464,3.0,10.0,6.0
3.904,1.9999999999999496,18.00000000000013,2.498691599727913,3.0,10.0,6.0
3.936,1.9999999999999492,18.000000000000135,2.497013809741192,3.0,10.0,6.0
3.968,1.9999999999999487,18.00000000000014,2.494596819654584,3.0,10.0,6.0
4.0,1.9999999999999483,18.000000000000142,2.491489473746084,3.0,10.0,6.0
4.032,1.999999999999948,18.000000000000146,2.4877404884244716,3.0,10.0,6.0
4.064,1.9999999999999478,18.00000000000015,2.4833982857978256,3.0,10.0,6.0
4.096,1.9999999999999476,18.00000000000015,2.478510835792291,3.0,10.0,6.0
4.128,1.9999999999999476,18.00000000000015,2.4731255070778624,3.0,10.0,6.0
4.16,1.9999999999999478,18.00000000000015,2.467288927020932,3.0,10.0,6.0
4.192,1.999999999999948,18.00000000000015,2.4610468508440033,3.0,10.0,6.0
4.224,1.9999999999999485,18.00000000000015,2.4544227797940836,3.0,10.0,6.0
4.256,1.999999999999949,18.00000000000015,2.447435663759727,3.0,10.0,6.0
4.288,1.9999999999999494,18.000000000000146,2.4401051085985483,3.0,10.0,6.0
4.32,1.9999999999999498,18.000000000000142,2.43245129111001,3.0,10.0,6.0
4.352,1.99999999999995,18.00000000000014,2.4244948752529587,3.0,10.0,6.0
4.384,1.9999999999999503,18.000000000000135,2.4162569297958627,3.0,10.0,6.0
4.416,1.9999999999999503,18.00000000000013,2.4077588475823424,3.0,10.0,6.0
4.448,1.9999999999999503,18.00000000000013,2.399022266588512,3.0,10.0,6.0
4.48,1.99999999999995,18.00000000000013,2.390068992941859,3.0,10.0,6.0
4.5120000000000005,1.9999999999999496,18.00000000000013,2.3809209260638933,3.0,10.0,6.0
4.5440000000000005,1.9999999999999492,18.00000000000013,2.371599986090648,3.0,10.0,6.0
4.5760000000000005,1.9999999999999487,18.00000000000013,2.3621280437162784,3.0,10.0,6.0
4.6080000000000005,1.9999999999999483,18.00000000000013,2.352526852595608,3.0,10.0,6.0
4.64,1.9999999999999478,18.00000000000013,2.3428179844314934,3.0,10.0,6.0
4.672,1.9999999999999474,18.00000000000013,2.3330227668623866,3.0,10.0,6.0
4.704,1.999999999999947,18.00000000000013,2.32316222425456,3.0,10.0,6.0
4.736,1.9999999999999465,18.000000000000128,2.3132570214921433,3.0,10.0,6.0
4.768,1.9999999999999463,18.000000000000124,2.3033274108464887,3.0,10.0,6.0
