Tiempo,Posición X,Posición Y,Posición Z,Objetivo X,Objetivo Y,Objetivo Z
77.952,6.438208648385365,13.437791349940253,3.4927592897262736,7.0,13.0,3.5
77.984,6.445512739486857,13.430463455506771,3.4931940848644625,7.0,13.0,3.5
78.016,6.452860452140469,13.423091796623233,3.493667300553411,7.0,13.0,3.5
78.048,6.460241611046062,13.415686581812057,3.4941756040307825,7.0,13.0,3.5
78.08,6.467642742366483,13.408261328881162,3.4947155774482703,7.0,13.0,3.5
78.112,6.475048432946753,13.400831501274816,3.495283707595257,7.0,13.0,3.5
78.144,6.482442666380687,13.393413167652314,3.4958763897640366,7.0,13.0,3.5
78.176,6.489809999241985,13.386021821822974,3.4964899474906987,7.0,13.0,3.5
78.208,6.497136486699862,13.37867145411338,3.497120664357522,7.0,13.0,3.5
78.24,6.5044103120702434,13.371373919764034,3.4977648211742483,7.0,13.0,3.5
78.272,6.511622115075012,13.364138609600008,3.498418731836843,7.0,13.0,3.5
78.304,6.518765045663972,13.356972396033457,3.4990787731380895,7.0,13.0,3.5
78.336,6.525834592677072,13.349879804959844,3.499741406539293,7.0,13.0,3.5
78.368,6.532828249202148,13.342863351491008,3.500403192339137,7.0,13.0,3.5
78.4,6.539745080079443,13.335923973860481,3.501060798189095,7.0,13.0,3.5
78.432,6.546585253200811,13.329061503652206,3.5017110043936515,7.0,13.0,3.5
78.464,6.5533495870281335,13.322275119757203,3.502350708135994,7.0,13.0,3.5
78.496,6.560039154203369,13.31556374605583,3.502976928067585,7.0,13.0,3.5
78.528,6.566654967214476,13.308926366776687,3.5035868099432586,7.0,13.0,3.5
78.56,6.573197758502734,13.302362247106295,3.5041776333941845,7.0,13.0,3.5
78.592,6.579667855440102,13.295871058619484,3.504746819585764,7.0,13.0,3.5
78.624,6.586065141124838,13.28945291861176,3.505291939375407,7.0,13.0,3.5
78.656,6.592389085364264,13.283108359015715,3.50581072158541,7.0,13.0,3.5
78.688,6.5986388265792675,13.276838244229682,3.5063010610584238,7.0,13.0,3.5
78.72,6.60481328441626,13.270643658138805,3.506761026215404,7.0,13.0,3.5
78.752,6.6109112841163595,13.264525779340545,3.507188865870846,7.0,13.0,3.5
78.784,6.616931676575875,13.258485760692878,3.5075830150840033,7.0,13.0,3.5
78.816,6.622873441908442,13.252524625414646,3.5079420998532522,7.0,13.0,3.5
78.848,6.628735768593226,13.246643187679366,3.5082649405055943,7.0,13.0,3.5
78.88,6.634518104457474,13.240842001466529,3.5085505536964536,7.0,13.0,3.5
78.912,6.640220179404788,13.235121337759244,3.5087981530087804,7.0,13.0,3.5
78.944,6.645842002704332,13.229481187263898,3.5090071482122713,7.0,13.0,3.5
78.976,6.6513838396710145,13.22392128380601,3.5091771433008625,7.0,13.0,3.5
79.008,6.656846173678192,13.218441142441375,3.5093079334615025,7.0,13.0,3.5
79.04,6.66222965973015,13.213040106034947,3.509399501137662,7.0,13.0,3.5
79.072,6.66753507542469,13.207717394458141,3.5094520113405414,7.0,13.0,3.5
79.104,6.672763274237392,13.202472151456874,3.509465806336298,7.0,13.0,3.5
79.136,6.677915144851563,13.197303485454222,3.509441399806544,7.0,13.0,3.5
79.168,6.682991578925149,13.192210501888619,3.5093794705484846,7.0,13.0,3.5
79.2,6.687993448386266,13.187192325992354,3.5092808557549575,7.0,13.0,3.5
79.232,6.69292159220496,13.182248116062977,3.509146543895574,7.0,13.0,3.5
79.264,6.69777681168221,13.177377068189665,3.508977667208501,7.0,13.0,3.5
79.296,6.702559872669837,13.172578414026107,3.5087754938074465,7.0,13.0,3.5
79.328,6.707271512792159,13.16785141354533,3.50854141940868,7.0,13.0,3.5
79.36,6.711912451658241,13.16319534479417,3.5082769586871025,7.0,13.0,3.5
79.392,6.716483402187407,13.158609492530863,3.507983736276998,7.0,13.0,3.5
79.424,6.720985081463164,13.154093137335746,3.5076634774411657,7.0,13.0,3.5
79.456,6.725418219920432,13.149645546394094,3.507317998440587,7.0,13.0,3.5
79.488,6.729783568099425,13.145265966720233,3.5069491966448303,7.0,13.0,3.5
79.52,6.7340819006160775,13.140953621174171,3.5065590404304134,7.0,13.0,3.5
79.552,6.738314017364478,13.136707707255264,3.5061495589197653,7.0,13.0,3.5
79.584,6.742480742255085,13.132527398368104,3.5057228316169917,7.0,13.0,3.5
79.616,6.746582919990635,13.12841184705715,3.5052809779982597,7.0,13.0,3.5
79.648,6.750621411487905,13.124360189599871,3.5048261471143873,7.0,13.0,3.5
79.68,6.754597088576141,13.120371551325627,3.5043605072614596,7.0,13.0,3.5
79.712,6.75851082855656,13.116445052073892,3.5038862357723612,7.0,13.0,3.5
79.744,6.762363509110831,13.112579811302385,3.5034055089784615,7.0,13.0,3.5
79.776,6.766156003919625,13.108774952482808,3.5029204923866977,7.0,13.0,3.5
79.808,6.769889179214316,13.105029606560384,3.5024333311133065,7.0,13.0,3.5
79.84,6.7735638913519365,13.101342914386823,3.501946140611675,7.0,13.0,3.5
79.872,6.777180985387949,13.097714028152195,3.501460997728374,7.0,13.0,3.5
79.904,6.780741294531599,13.094142111931369,3.500979932118436,7.0,13.0,3.5
79.936,6.784245640308312,13.09062634152108,3.5005049180483185,7.0,13.0,3.5
79.968,6.787694833223062,13.087165903774407,3.50003786661272,7.0,13.0,3.5
80.0,6.7910896737148265,13.083759995643213,3.499580618389358,7.0,13.0,3.5
80.032,6.794430953210158,13.080407823121131,3.4991349365539137,7.0,13.0,3.5
80.06400000000001,6.797719455117369,13.077108600246149,3.498702500475482,7.0,13.0,3.5
80.096,6.800955955645143,13.073861548279332,3.498284899810956,7.0,13.0,3.5
80.128,6.804141224374598,13.070665895130892,3.4978836291147744,7.5,12.5,3.5
80.16,6.807276016364736,13.067520883280482,3.497501716408225,7.5,12.5,3.5
80.19200000000001,6.810251453088202,13.064535746216198,3.4971338630621465,7.5,12.5,3.5
80.224,6.8129587178251105,13.061819655417143,3.496773680627297,7.5,12.5,3.5
80.256,6.815319564159421,13.059450740235027,3.4964172899523653,7.5,12.5,3.5
80.288,6.817296633886625,13.057470365405601,3.4960669925408907,7.5,12.5,3.5
80.32000000000001,6.819004361521501,13.055773539425145,3.4957248440642568,7.5,12.5,3.5
80.352,6.8205981562644915,13.054218775464994,3.4954085652209983,7.5,12.5,3.5
80.384,6.822261746722216,13.052629624800122,3.4951201082609367,7.5,12.5,3.5
80.416,6.824184017186537,13.05081858479926,3.4948546880564,7.5,12.5,3.5
80.44800000000001,6.826535550939847,13.048611370101973,3.4946021905379383,7.5,12.5,3.5
80.48,6.829450909395742,13.0458659794257,3.4943509929320813,7.5,12.5,3.5
80.512,6.833018325766137,13.042484586505118,3.4940922434432737,7.5,12.5,3.5
80.544,6.837276515462862,13.038418251352349,3.4938227988260584,7.5,12.5,3.5
80.57600000000001,6.842217388917257,13.033665469631368,3.4935459777230364,7.5,12.5,3.5
80.608,6.847793114338209,13.028266013584101,3.4932703108178815,7.5,12.5,3.5
80.64,6.853925938171615,13.022291636690989,3.4930071199518298,7.5,12.5,3.5
80.672,6.860519262456019,13.015835180793625,3.492767921942122,7.5,12.5,3.5
80.70400000000001,6.8674686397176705,13.008999495727338,3.4925624308510996,7.5,12.5,3.5
80.736,6.874671578528578,13.001887358156507,3.4923975229559474,7.5,12.5,3.5
80.768,6.8820353604004385,12.994593262540858,3.492277128483764,7.5,12.5,3.5
80.8,6.889482425290588,12.987197588672595,3.4922027547848358,7.5,12.5,3.5
80.83200000000001,6.896953236947777,12.979763284763166,3.492174267761923,7.5,12.5,3.5
80.864,6.904406837697791,12.972334896912626,3.492190625639666,7.5,12.5,3.5
80.896,6.911819511868804,12.964939556819028,3.4922503967218246,7.5,12.5,3.5
80.928,6.919182090144461,12.957589416058502,3.4923520284458203,7.5,12.5,3.5
80.96000000000001,6.926496454711974,12.950284976064712,3.4924939246432363,7.5,12.5,3.5
80.992,6.933771766678073,12.943018789764576,3.4926744204409337,7.5,12.5,3.5
81.024,6.941020853652016,12.935779084651111,3.4928917326564055,7.5,12.5,3.5
81.056,6.94825708563124,12.92855296027256,3.4931439306737806,7.5,12.5,3.5
81.08800000000001,6.955491947899445,12.921328929659628,3.4934289393999545,7.5,12.5,3.5
81.12,6.962733404430621,12.914098689879081,3.4937445642824256,7.5,12.5,3.5
81.152,6.969985045029675,12.906858110071882,3.494088521422695,7.5,12.5,3.5
81.184,6.9772459312288815,12.899607507868367,3.4944584598114803,7.5,12.5,3.5
81.21600000000001,6.984511003122133,12.89235134270723,3.4948519713167814,7.5,12.5,3.5
81.248,6.991771881805064,12.885097486659141,3.4952665917319097,7.5,12.5,3.5
81.28,6.9990178972465955,12.877856242070562,3.4956997999528703,7.5,12.5,3.5
81.312,7.006237184880503,12.870639264843874,3.4961490219136446,7.5,12.5,3.5
81.34400000000001,7.013417720718805,12.863458527664688,3.496611642759209,7.5,12.5,3.5
81.376,7.020548198905652,12.856325424488476,3.4970850269321594,7.5,12.5,3.5
81.408,7.027618692278007,12.849250081307796,3.4975665430239014,7.5,12.5,3.5
81.44,7.0346210714062405,12.842240903065113,3.498053589147246,7.5,12.5,3.5
81.47200000000001,7.041549187558795,12.83530435591164,3.498543615118953,7.5,12.5,3.5
81.504,7.0483988480631306,12.828444960005804,3.499034139262545,7.5,12.5,3.5
81.536,7.05516762775925,12.821665451705776,3.4995227593870437,7.5,12.5,3.5
81.568,7.061854567787374,12.814967065346364,3.5000071588732466,7.5,12.5,3.5
81.60000000000001,7.0684598136978645,12.808349883029996,3.500485109524173,7.5,12.5,3.5
81.632,7.074984240196718,12.801813204705617,3.5009544729227735,7.5,12.5,3.5
81.664,7.08142910137065,12.795355898675568,3.5014132016858968,7.5,12.5,3.5
81.696,7.087795734630995,12.788976702911635,3.5018593414622994,7.5,12.5,3.5
81.72800000000001,7.094085335394928,12.782674458641372,3.5022910340037186,7.5,12.5,3.5
81.76,7.100298808944225,12.77644826828948,3.5027065212601878,7.5,12.5,3.5
81.792,7.106436696893579,12.770297579050984,3.5031041502419535,7.5,12.5,3.5
81.824,7.112499168835933,12.764222200508279,3.5034823783181497,7.5,12.5,3.5
81.85600000000001,7.118486065249327,12.758222269497008,3.5038397786312023,7.5,12.5,3.5
81.888,7.124396975596941,12.75229817788728,3.504175045346049,7.5,12.5,3.5
81.92,7.130231335456038,12.746450479319757,3.504486998495201,7.5,12.5,3.5
81.952,7.135988528050346,12.740679789622856,3.5047745882156707,7.5,12.5,3.5
81.984,7.14166797823789,12.734986693123615,3.5050368982061655,7.5,12.5,3.5
82.016,7.147269230316439,12.729371663855124,3.5052731482705672,7.5,12.5,3.5
82.048,7.152792004488715,12.723835007225254,3.505482695860948,7.5,12.5,3.5
82.08,7.158236230096473,12.71837682443703,3.5056650365885,7.5,12.5,3.5
82.112,7.163602056504956,12.712996999133878,3.505819803727041,7.5,12.5,3.5
82.144,7.168889844623428,12.70769520356945,3.5059467667827127,7.5,12.5,3.5
82.176,7.174100143412755,12.702470920154914,3.5060458292380625,7.5,12.5,3.5
82.208,7.179233656374734,12.69732347350987,3.506117025595507,7.5,12.5,3.5
82.24,7.1842912030256585,12.692252068059164,3.5061605178447577,7.5,12.5,3.5
82.272,7.1892736798595775,12.687255826651661,3.5061765914649703,7.5,12.5,3.5
82.304,7.194182024459081,12.682333826477697,3.506165651050543,7.5,12.5,3.5
82.336,7.199017185370375,12.677485129572988,3.5061282156249924,7.5,12.5,3.5
82.368,7.203780099268967,12.672708806273647,3.506064913684571,7.5,12.5,3.5
82.4,7.208471675921695,12.668003951007691,3.5059764779949045,7.5,12.5,3.5
82.432,7.213092790587811,12.663369690682405,3.5058637401511468,7.5,12.5,3.5
82.464,7.21764428285045,12.658805186596515,3.505727624904881,7.5,12.5,3.5
82.496,7.2221269604517255,12.654309631246113,3.5055691442585473,7.5,12.5,3.5
82.528,7.226541606514123,12.64988224160666,3.5053893913294476,7.5,12.5,3.5
82.56,7.230888988540134,12.645522250485163,3.505189533989289,7.5,12.5,3.5
82.592,7.235169867749585,12.641228897386915,3.5049708082907856,7.5,12.5,3.5
82.624,7.239385007590558,12.637001420078072,3.5047345116991626,7.5,12.5,3.5
82.656,7.243535180595472,12.632839047698468,3.5044819961527733,7.5,12.5,3.5
82.688,7.247621173102824,12.628740995934262,3.504214660982861,7.5,12.5,3.5
82.72,7.2516437876898365,12.624706464435604,3.5039339457272836,7.5,12.5,3.5
82.752,7.255603843434092,12.620734636388969,3.5036413228764784,7.5,12.5,3.5
82.784,7.259502174326428,12.616824679944653,3.5033382905919215,7.5,12.5,3.5
82.816,7.263339626286499,12.612975751064909,3.5030263654378424,7.5,12.5,3.5
82.848,7.267117053288896,12.60918699729531,3.5027070751661804,7.5,12.5,3.5
82.88,7.270835313100699,12.6054575619631,3.502381951592934,7.5,12.5,3.5
82.912,7.27449526307468,12.601786588357887,3.502052523601515,7.5,12.5,3.5
82.944,7.278097756351847,12.598173223536747,3.501720310305757,7.5,12.5,3.5
82.976,7.281643638718882,12.59461662150137,3.501386814402155,7.5,12.5,3.5
83.008,7.285133746254742,12.591115945604953,3.5010535157379237,7.5,12.5,3.5
83.04,7.288568903798232,12.587670370148755,3.5007218651186984,7.5,12.5,3.5
83.072,7.291949924183364,12.584279081213976,3.5003932783772873,7.5,12.5,3.5
83.104,7.295277608126734,12.580941276838441,3.500069130722742,7.5,12.5,3.5
83.136,7.298552744612919,12.577656166687538,3.4997507513872157,7.5,12.5,3.5
83.168,7.301776111608745,12.574422971385612,3.499439418586495,7.5,12.5,3.5
83.2,7.304948476942195,12.571240921670869,3.499136354808673,8.0,12.0,3.0
83.232,7.3080705898793585,12.568109266866932,3.4988445881274752,8.0,12.0,3.0
83.264,7.311033686715165,12.565137109586237,3.4985588269431878,8.0,12.0,3.0
83.296,7.313728935844798,12.562433620515385,3.4982774566520196,8.0,12.0,3.0
83.328,7.315938389697468,12.560217425401168,3.497981041652488,8.0,12.0,3.0
83.36,7.317449105020868,12.558702130162128,3.4975777495617226,8.0,12.0,3.0
83.392,7.318145313185859,12.558003864152768,3.496889388479093,8.0,12.0,3.0
83.424,7.318034380547214,12.558115238873993,3.4959213978398593,8.0,12.0,3.0
83.456,7.31723304706283,12.558919152250295,3.494696455090886,8.0,12.0,3.0
83.488,7.31593351816268,12.560222802161944,3.4932428831515066,8.0,12.0,3.0
83.52,7.314370433502876,12.56179082034088,3.491583640609456,8.0,12.0,3.0
83.552,7.312794378524859,12.563371843129024,3.489730206250176,8.0,12.0,3.0
83.584,7.311452749253845,12.56471770615088,3.4876815196726825,8.0,12.0,3.0
83.616,7.3105772404555305,12.56559599504705,3.4854263763906705,8.0,12.0,3.0
83.648,7.3103694068715015,12.565804529117235,3.4829482754605965,8.0,12.0,3.0
83.68,7.3109848804020015,12.565187193190644,3.480231994588954,8.0,12.0,3.0
83.712,7.312523209710255,12.5636441295985,3.4772697775097754,8.0,12.0,3.0
83.744,7.315024662107754,12.5611349462256,3.474065017637657,8.0,12.0,3.0
83.776,7.3184732701934,12.557675660399557,3.470632565397411,8.0,12.0,3.0
83.808,7.322804748507356,12.553330757631418,3.4669961208978215,8.0,12.0,3.0
83.84,7.3279177509074716,12.548201899254066,3.4631840086341783,8.0,12.0,3.0
83.872,7.3336869205829185,12.542414831855394,3.45922482246824,8.0,12.0,3.0
83.904,7.339976222398394,12.536106013506043,3.455144099810744,8.0,12.0,3.0
83.936,7.346651186641888,12.529410331968023,3.450962580987517,8.0,12.0,3.0
83.968,7.3535889759790045,12.522451006461775,3.4466960005504954,8.0,12.0,3.0
84.0,7.360685590847651,12.515332359884832,3.4423559426944648,8.0,12.0,3.0
84.032,7.3678599743229025,12.508135701194275,3.437951153112263,8.0,12.0,3.0
84.06400000000001,7.375055177012,12.500918156893796,3.433488794411904,8.0,12.0,3.0
84.096,7.382237036774883,12.493713995416726,3.4289753507352243,8.0,12.0,3.0
84.128,7.3893909996159,12.48653781611325,3.4244171126853797,8.0,12.0,3.0
84.16,7.396517769681093,12.479388912770055,3.4198203291865887,8.0,12.0,3.0
84.19200000000001,7.403628452638053,12.472256145321532,3.415191174713993,8.0,12.0,3.0
84.224,7.410739772549193,12.465122737839305,3.4105356659204555,8.0,12.0,3.0
84.256,7.417869818975045,12.457970544644397,3.405859607644251,8.0,12.0,3.0
84.288,7.4250346372685385,12.4507834706086,3.4011685902570568,8.0,12.0,3.0
84.32000000000001,7.432245828120458,12.443549879068836,3.3964680210607283,8.0,12.0,3.0
84.352,7.439509187524674,12.436263956088938,3.391763158850195,8.0,12.0,3.0
84.384,7.446824306983227,12.428926111497859,3.387059127503104,8.0,12.0,3.0
84.416,7.454184972856476,12.42154257829956,3.382360900607566,8.0,12.0,3.0
84.44800000000001,7.461580155498422,12.414124420464956,3.3776732643296636,8.0,12.0,3.0
84.48,7.46899536152601,12.406686176461356,3.373000773811295,8.0,12.0,3.0
84.512,7.47641413178608,12.39924435663135,3.36834771822348,8.0,12.0,3.0
84.544,7.483819497105441,12.391815982919594,3.3637181036592287,8.0,12.0,3.0
84.57600000000001,7.491195246726358,12.384417316496101,3.359115655235875,8.0,12.0,3.0
84.608,7.498526913420295,12.377062869581525,3.354543833466726,8.0,12.0,3.0
84.64,7.505802428306454,12.36976474859392,3.3500058569351436,8.0,12.0,3.0
84.672,7.513012442285118,12.362532331716597,3.34550472362413,8.0,12.0,3.0
84.70400000000001,7.520150346199434,12.355372248673683,3.3410432258132037,8.0,12.0,3.0
84.736,7.527212046476429,12.348288605786271,3.3366239567488454,8.0,12.0,3.0
84.768,7.534195566688134,12.341283385649422,3.332249310075362,8.0,12.0,3.0
84.8,7.5411005490602765,12.334356947172529,3.327921474617153,8.0,12.0,3.0
84.83200000000001,7.547927725154678,12.32750855654181,3.323642427469818,8.0,12.0,3.0
84.864,7.554678413987882,12.320736890661353,3.3194139278305683,8.0,12.0,3.0
84.896,7.5613540911254375,12.314040469397975,3.31523751306645,8.0,12.0,3.0
84.928,7.567956056106511,12.307417989190228,3.31111449760204,8.0,12.0,3.0
84.96000000000001,7.574485209885855,12.300868546298185,3.3070459745496334,8.0,12.0,3.0
84.992,7.580941940348285,12.29439175164488,3.3030328196637653,8.0,12.0,3.0
85.024,7.587326103348575,12.2879877498355,3.299075697111831,8.0,12.0,3.0
85.056,7.593637079628672,12.281657162063434,3.2951750665992665,8.0,12.0,3.0
85.08800000000001,7.599873884372484,12.275400976215181,3.2913311914707357,8.0,12.0,3.0
85.12,7.606035305715708,12.269220407930213,3.2875441474719844,8.0,12.0,3.0
85.152,7.612120050620616,12.263116754272971,3.283813831889382,8.0,12.0,3.0
85.184,7.618126880403927,12.25709125778391,3.2801399728024077,8.0,12.0,3.0
85.21600000000001,7.6240547230919145,12.251144993775306,3.276522138211691,8.0,12.0,3.0
85.248,7.629902754951836,12.245278788546504,3.2729597448558865,8.0,12.0,3.0
85.28,7.635670448415604,12.239493171311358,3.269452066604248,8.0,12.0,3.0
85.312,7.641357587731747,12.233788358497664,3.2659982423958898,8.0,12.0,3.0
85.34400000000001,7.646964256787078,12.228164265963345,3.262597283774227,8.0,12.0,3.0
85.376,7.652490805524427,12.222620542683108,3.2592480821212932,8.0,12.0,3.0
85.408,7.657937802279987,12.217156618559224,3.2559494157237974,8.0,12.0,3.0
85.44,7.6633059793120974,12.211771759062042,3.2526999568012873,8.0,12.0,3.0
85.47200000000001,7.6685961779996745,12.206465120201878,3.2494982786030704,8.0,12.0,3.0
85.504,7.67380929889302,12.201235798633448,3.246342862644115,8.0,12.0,3.0
85.536,7.67894626024292,12.196082873255664,3.2432321061103897,8.0,12.0,3.0
85.568,7.68400796703203,12.19100543627652,3.240164329428154,8.0,12.0,3.0
85.60000000000001,7.688995291060305,12.186002613189558,3.2371377839637967,8.0,12.0,3.0
85.632,7.6939090614177035,12.181073572330808,3.2341506598023066,8.0,12.0,3.0
85.664,7.698750063783919,12.176217525581247,3.23120109354285,8.0,12.0,3.0
85.696,7.7035190464492,12.171433722327295,3.228287176047604,8.0,12.0,3.0
85.72800000000001,7.708216730734348,12.16672143900845,3.22540696008315,8.0,12.0,3.0
85.76,7.712843823553753,12.16207996651523,3.2225584678005537,8.0,12.0,3.0
85.792,7.7174010301461635,12.15750859741886,3.219739698009356,8.0,12.0,3.0
85.824,7.721889065419307,12.153006614591405,3.2169486332107944,8.0,12.0,3.0
85.85600000000001,7.726308662843522,12.148573282284516,3.214183246365733,8.0,12.0,3.0
85.888,7.730660580322017,12.144207840240933,3.211441507382187,8.0,12.0,3.0
85.92,7.734945602910278,12.139909500966638,3.208721389315287,8.0,12.0,3.0
85.952,7.739164542619401,12.135677449928144,3.2060208742787197,8.0,12.0,3.0
85.98400000000001,7.743318235798536,12.131510848178184,3.20333795907085,8.0,12.0,3.0
86.016,7.747407538745324,12.127408836758931,3.2006706605209594,8.0,12.0,3.0
86.048,7.751433322247485,12.123370542177371,3.1980170205616307,8.0,12.0,3.0
86.08,7.755396465729133,12.119395082277185,3.195375111032625,8.0,12.0,3.0
86.112,7.7592978515829,12.115481571924244,3.1927430382201387,8.0,12.0,3.0
86.144,7.763138360136336,12.111629128055863,3.190118947133538,8.0,12.0,3.0
86.176,7.766918865550305,12.10783687379515,3.1875010255199316,8.0,12.0,3.0
86.208,7.770640232797431,12.104103941481949,3.1848875076155236,8.0,12.0,3.0
86.24,7.774303315735005,12.100429474605937,3.182276677631766,8.0,12.0,3.0
86.272,7.777908956179283,12.096812628735197,3.179666872973976,8.0,12.0,3.0
86.304,7.781457983812283,12.093252571609725,3.1770564871902436,8.0,12.0,3.0
86.336,7.784951216708849,12.089748482612718,3.1744439726491076,8.0,12.0,3.0
86.368,7.788389462258654,12.086299551845721,3.1718278429454547,8.0,12.0,3.0
86.4,7.7917735182697525,12.082904979021645,3.169206675035341,8.0,12.0,3.0
86.432,7.7951041740709295,12.07956397235899,3.1665791111017696,8.0,12.0,3.0
